"Timestamp","Ce varsta aveti?","Folositi deja un aparat de AC ?","Ce tip de aparat de AC folositi deja ?","Care dintre urmatoarele functionalitati ati dori sa existe in aparatul dvs. de AC ?","Este ceva ce va doriti de la un aparat de AC smart dar nu exista in lista de mai sus ?","Ce tip de aparat de AC veti alege la urmatoarea achizitie:","Ati cumpara un AC smart care sa prezinte functionalitatile alese sau prezentate de dvs mai sus ?"
"2021/02/26 5:38:13 pm EET","18 - 24","Da","","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera","Nu","Aer conditionat 'smart'","Da"
"2021/02/26 5:38:46 pm EET","18 - 24","Da","","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","e perfect","Aer conditionat 'smart'","Da"
"2021/02/26 5:39:07 pm EET","18 - 24","Da","","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","nu","Aer conditionat clasic","Da"
"2021/02/26 5:43:47 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Reglarea umidității din camera","nu","Aer conditionat 'smart'","Da"
"2021/02/26 5:59:15 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Reglarea umidității din camera","nu","Aer conditionat 'smart'","Da"
"2021/02/26 5:59:22 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii."," ","Aer conditionat 'smart'","Da"
"2021/02/26 6:01:37 pm EET","18 - 24","Da","Clasic","Imi place asa cum e.","???","Aer conditionat clasic","Da"
"2021/02/26 6:03:21 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera","Nu","Aer conditionat 'smart'","Da"
"2021/02/26 6:04:17 pm EET","18 - 24","Da","Clasic","Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","Nu","Aer conditionat clasic","Da"
"2021/02/26 6:21:41 pm EET","18 - 24","Da","Clasic","Monitorizarea umiditatii;Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","","Aer conditionat 'smart'","Da"
"2021/02/26 6:22:58 pm EET","25 - 40","Da","Clasic","Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat 'smart'","Da"
"2021/02/26 6:25:31 pm EET","25 - 40","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","","Aer conditionat 'smart'","Da"
"2021/02/26 6:25:50 pm EET","40 - 60","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de programare intervale orare;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat clasic","Da"
"2021/02/26 6:35:14 pm EET","18 - 24","Da","Smart","Controlare prin Smartphone;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 6:36:03 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","Nu","Aer conditionat 'smart'","Da"
"2021/02/26 6:51:19 pm EET","25 - 40","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.;Split 1 AC la 2 camere alaturate","Interconectare cu senzorii de miscare, detectie miscare la intrarea in curte. Functionalitatile smart integrate cu aplicatiile mari de smart home (ios, Android).","Aer conditionat 'smart'","Da"
"2021/02/26 6:56:03 pm EET","25 - 40","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","","Aer conditionat 'smart'","Da"
"2021/02/26 6:58:23 pm EET","40 - 60","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera","","Aer conditionat 'smart'","Da"
"2021/02/26 7:15:44 pm EET","25 - 40","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","Sa fie integrat cu dispozitive virtual assistant. Ex: Alexa, Google home","Aer conditionat 'smart'","Da"
"2021/02/26 7:55:59 pm EET","25 - 40","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 8:14:53 pm EET","18 - 24","Da","Clasic","Monitorizarea temperaturii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat clasic","Nu"
"2021/02/26 8:36:08 pm EET","25 - 40","Da","Clasic","Controlare prin Smartphone;Monitorizarea umiditatii;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 8:48:40 pm EET","40 - 60","Da","Clasic","Controlare prin Smartphone;Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat clasic","Nu"
"2021/02/26 10:12:47 pm EET","18 - 24","Nu","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","Nu","Aer conditionat 'smart'","Da"
"2021/02/26 10:57:04 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Pornire/Oprire pe baza de programare intervale orare;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 10:58:02 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 10:58:08 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat 'smart'","Da"
"2021/02/26 10:58:51 pm EET","18 - 24","Nu","Nu am","Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera)","","Aer conditionat 'smart'","Da"
"2021/02/26 10:59:08 pm EET","18 - 24","Da","Smart","Imi place asa cum e.","","Aer conditionat clasic","Nu"
"2021/02/26 10:59:10 pm EET","18 - 24","Da","Clasic","Imi place asa cum e.","","Aer conditionat 'smart'","Da"
"2021/02/26 10:59:17 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Programare pe baza de profil (crearea unui set de optiuni)","","Aer conditionat 'smart'","Da"
"2021/02/26 11:01:04 pm EET","18 - 24","Nu","Nu am","Imi place asa cum e.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:01:14 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:02:00 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:02:58 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:03:28 pm EET","18 - 24","Nu","Nu am","Imi place asa cum e.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:08:12 pm EET","18 - 24","Da","Smart","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:10:11 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Nu"
"2021/02/26 11:13:44 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/26 11:22:30 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Nu"
"2021/02/26 11:51:07 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera)","","Aer conditionat 'smart'","Da"
"2021/02/26 11:58:26 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat clasic","Da"
"2021/02/27 12:01:18 am EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/27 12:20:58 am EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/27 1:04:39 am EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat 'smart'","Da"
"2021/02/27 8:35:19 am EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/27 9:25:52 am EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","O opțiune,,confort'' care sa seteze temperatura din camera pe baza temperaturii exterioare","Aer conditionat 'smart'","Nu"
"2021/02/27 9:31:25 am EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","Nu ","Aer conditionat 'smart'","Da"
"2021/02/27 10:10:53 am EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/02/27 10:32:05 am EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat 'smart'","Da"
"2021/02/27 3:03:02 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","Nu","Aer conditionat 'smart'","Da"
"2021/03/01 2:47:47 pm EET","40 - 60","Da","Smart","Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","Suport de la distanta.","Aer conditionat 'smart'","Da"
"2021/03/01 2:48:22 pm EET","25 - 40","Da","Clasic","Controlare prin Smartphone;Monitorizarea umiditatii;Reglarea umidității din camera","","Aer conditionat 'smart'","Da"
"2021/03/01 2:57:24 pm EET","25 - 40","Nu","Nu am","Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","Functie de purificare aer","Aer conditionat 'smart'","Da"
"2021/03/01 3:01:03 pm EET","25 - 40","Da","Smart","Controlare prin Smartphone;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/03/01 3:01:40 pm EET","25 - 40","Da","Smart","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","","Aer conditionat 'smart'","Da"
"2021/03/01 3:02:32 pm EET","40 - 60","Da","Smart","Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","Sa functionze cu Wi-fi, sa aiba alimentare pe baza de baterii solare, sa nu aiba unitatea de racire atat de mare ;","Aer conditionat 'smart'","Da"
"2021/03/01 3:02:55 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","In cazul in care simte ca aerul este spre o persoana sa schimbe automat directia.","Aer conditionat 'smart'","Da"
"2021/03/01 3:13:38 pm EET","25 - 40","Nu","Nu am","Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat 'smart'","Da"
"2021/03/01 3:45:05 pm EET","25 - 40","Da","Smart","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera","Wind free","Aer conditionat 'smart'","Da"
"2021/03/01 3:46:41 pm EET","25 - 40","Da","Clasic","Pornire/Oprire pe baza de programare intervale orare","","Aer conditionat clasic","Nu"
"2021/03/01 5:13:28 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Programare pe baza de profil (crearea unui set de optiuni)","","Aer conditionat 'smart'","Da"